,DET_FLIP_ONE_BIT,DET_FLIP_TWO_BITS,DET_FLIP_FOUR_BITS,DET_FLIP_ONE_BYTE,DET_FLIP_TWO_BYTES,DET_FLIP_FOUR_BYTES,DET_ARITH_ADD_ONE,DET_ARITH_SUB_ONE,DET_ARITH_ADD_TWO_LE,DET_ARITH_SUB_TWO_LE,DET_ARITH_ADD_TWO_BIG,DET_ARITH_SUB_TWO_BIG,DET_ARITH_ADD_FOUR_LE,DET_ARITH_SUB_FOUR_LE,DET_ARITH_ADD_FOUR_BIG,DET_ARITH_SUB_FOUR_BIG,INTERESTING_BYTE,INTERESTING_TWO_BYTES_LE,INTERESTING_TWO_BYTES_BIG,INTERESTING_FOUR_BYTES_LE,INTERESTING_FOUR_BYTES_BIG,HAVOC_MUT_FLIPBIT,HAVOC_MUT_INTERESTING8,HAVOC_MUT_INTERESTING16,HAVOC_MUT_INTERESTING16BE,HAVOC_MUT_INTERESTING32,HAVOC_MUT_INTERESTING32BE,HAVOC_MUT_ARITH8_,HAVOC_MUT_ARITH8,HAVOC_MUT_ARITH16_,HAVOC_MUT_ARITH16BE_,HAVOC_MUT_ARITH16,HAVOC_MUT_ARITH16BE,HAVOC_MUT_ARITH32_,HAVOC_MUT_ARITH32BE_,HAVOC_MUT_ARITH32,HAVOC_MUT_ARITH32BE,HAVOC_MUT_RAND8,HAVOC_MUT_BYTEADD,HAVOC_MUT_BYTESUB,HAVOC_MUT_FLIP8,DICTIONARY_USER_EXTRAS_OVER,DICTIONARY_USER_EXTRAS_INSERT,DICTIONARY_AUTO_EXTRAS_OVER,DICTIONARY_AUTO_EXTRAS_INSERT,CUSTOM_MUTATOR,HAVOC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.199828,0.011552,0.011552,0.043066,0.000000,0,0.343669,0.321275,0.171119,0.181227,0.198556,0.173285,0,0,0,0,0,0,0,0,0,0.199828,0,0,0,0,0,0.321275,0.343669,0.181227,0.173285,0.171119,0.198556,0,0,0,0,0,0.343669,0.321275,0,0,0,0,0,0,0
9,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
13,0.177073,0.014903,0.014903,0.038895,0.000745,0,0.332651,0.317298,0.175857,0.175857,0.173621,0.181818,0,0,0,0,0,0,0,0,0,0.177073,0,0,0,0,0,0.317298,0.332651,0.175857,0.181818,0.175857,0.173621,0,0,0,0,0,0.332651,0.317298,0,0,0,0,0,0,0
16,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
24,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
32,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
33,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
34,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
35,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
36,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
37,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
38,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
39,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
42,0.177073,0.014903,0.014903,0.038895,0.000745,0,0.332651,0.317298,0.175857,0.175857,0.173621,0.181818,0,0,0,0,0,0,0,0,0,0.177073,0,0,0,0,0,0.317298,0.332651,0.175857,0.181818,0.175857,0.173621,0,0,0,0,0,0.332651,0.317298,0,0,0,0,0,0,0
44,0.177073,0.014903,0.014903,0.038895,0.000745,0,0.332651,0.317298,0.175857,0.175857,0.173621,0.181818,0,0,0,0,0,0,0,0,0,0.177073,0,0,0,0,0,0.317298,0.332651,0.175857,0.181818,0.175857,0.173621,0,0,0,0,0,0.332651,0.317298,0,0,0,0,0,0,0
46,0.177073,0.014903,0.014903,0.038895,0.000745,0,0.332651,0.317298,0.175857,0.175857,0.173621,0.181818,0,0,0,0,0,0,0,0,0,0.177073,0,0,0,0,0,0.317298,0.332651,0.175857,0.181818,0.175857,0.173621,0,0,0,0,0,0.332651,0.317298,0,0,0,0,0,0,0
48,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
49,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
50,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
56,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
57,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
58,0.000000,0,0,0.000000,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0
