step,reward,loss,epsilon,coverage,crashes,action,input_hash
0,199.90,0.0000,1.0000,2,0,2,2088882505
100,-0.10,585.1548,0.8307,4,0,4,2088882505
200,-0.10,7.3115,0.5032,4,0,3,177638
300,-0.10,0.5508,0.3048,4,0,0,177638
400,-0.10,2.4846,0.1847,4,0,9,177638
500,-0.10,0.5476,0.1119,4,0,6,177638
600,-0.10,0.0720,0.0678,4,0,3,177638
700,-0.10,0.0266,0.0499,4,0,4,2088882505
800,-0.10,0.3780,0.0499,4,0,9,177638
900,-0.10,0.0196,0.0499,4,0,7,177638
1000,-0.10,0.0914,0.0499,4,0,5,177638
1100,-0.10,0.1016,0.0499,4,0,5,177638
1200,-0.10,4.8010,0.0499,4,0,7,177638
1300,-0.10,0.0461,0.0499,4,0,6,177638
1400,-0.10,0.0318,0.0499,4,0,0,177638
1500,-0.10,0.8757,0.0499,4,0,7,177638
1600,-0.10,0.1428,0.0499,4,0,0,177638
1700,-0.10,0.1763,0.0499,4,0,8,177638
1800,-0.10,0.0269,0.0499,4,0,5,177638
1900,-0.10,0.4367,0.0499,4,0,1,177638
2000,-0.10,0.0150,0.0499,4,0,8,2088882505
2100,-0.10,0.0262,0.0499,4,0,9,177638
2200,-0.10,0.0516,0.0499,4,0,0,177638
2300,-0.10,0.0201,0.0499,4,0,5,177638
2400,-0.10,0.0035,0.0499,4,0,9,2088882505
2500,-0.10,0.0365,0.0499,4,0,0,177638
2600,-0.10,0.0581,0.0499,4,0,7,177638
2700,-0.10,0.3402,0.0499,4,0,0,177638
2800,-0.10,0.0030,0.0499,4,0,0,2088882505
2900,-0.10,0.0039,0.0499,4,0,8,2088882505
3000,-0.10,0.0059,0.0499,4,0,2,177638
3100,-0.10,0.0035,0.0499,4,0,9,177638
3200,-0.10,0.0929,0.0499,4,0,9,177638
3300,-0.10,0.1009,0.0499,4,0,5,177638
3400,-0.10,0.0063,0.0499,4,0,3,177638
3500,-0.10,0.0402,0.0499,4,0,8,177638
3600,-0.10,620.2516,0.0499,4,0,8,2088882505
3700,-0.10,0.0053,0.0499,4,0,6,177638
3800,-0.10,0.0038,0.0499,4,0,5,177638
3900,-0.10,0.0060,0.0499,4,0,0,177638
4000,-0.10,0.0025,0.0499,4,0,2,2088882505
4100,-0.10,0.0057,0.0499,4,0,8,177638
4200,-0.10,0.0104,0.0499,4,0,8,2088882505
4300,-0.10,0.0023,0.0499,4,0,4,177638
4400,-0.10,0.3328,0.0499,4,0,5,2088882505
4500,-0.10,0.0036,0.0499,4,0,7,2088882505
4600,-0.10,0.0083,0.0499,4,0,8,2088882505
4700,-0.10,0.1088,0.0499,4,0,5,177638
4800,-0.10,0.0050,0.0499,4,0,5,177638
4900,-0.10,0.0291,0.0499,4,0,7,177638
5000,-0.10,0.0112,0.0499,4,0,2,177638
5100,-0.10,0.0116,0.0499,4,0,5,177638
